description,skills,status
"This course introduces students to the basic concepts of income taxation in Singapore. Since a large portion of a business organisation's profits goes towards the payment of income tax, it is absolutely crucial for students to have an understanding of how tax works and how to legally minimize it. This course is relevant to those who wish to work in the fields of accounting, consulting or financial management.",Accounting Standards; Tags: Others | Financial Planning; Tags: Others | Financial Reporting; Tags: Others | Business Needs Analysis; Tags: Emerging,success
"The course covers financial accounting at an advanced level, with a focus on business combination accounting, group accounting (subsidiaries, associates and joint arrangements), foreign currency accounting (transactions and translation) and related party disclosures.",Financial Reporting; Tags: Others | Group Accounting and Consolidation; Tags: Others | Financial Planning and Analysis; Tags: Others,success
"This course equips students with an understanding of the various valuation issues and methodologies available to accountants and managers. It specifically discusses valuation issues pertaining to the enterprise, assets for use, and liabilities. After taking this course, the students should be able to value certain classes of assets and liabilities which are of significant interest and importance to the modern business. Coverage includes fair value and value-in-use concepts, earnings multiple analysis, discounted cash flow analysis and real option analysis.",Financial Analysis; Tags: Others | Market Research and Analysis; Tags: Others | Enterprise Architecture; Tags: Others,success
"The course covers corporate governance from a multidisciplinary perspective including law, finance, accounting and economics. The course covers enterprise risk management in terms of the Integrated Framework issued by the Committee of Sponsoring Organizations of the Treadway Commission (COSO).",Corporate Governance; Tags: Others | Enterprise Risk Management; Tags: Others | Accounting Standards; Tags: Others | Financial Analysis; Tags: Others | Audit and Compliance; Tags: Others,success
This is a capstone course that to some extent mirrors the aims of the Integrated Business Systems course in the Singapore Chartered Accountant Qualification (SCAQ) Programme. The course gives students a chance to apply their technical knowledge in different areas to a set of multi-disciplinary cases that capture complex real problems faced by accountants particularly in Singapore and the neighbouring region.,Business Needs Analysis; Tags: Emerging | Systems Design; Tags: Others | Accounting Standards; Tags: Others,success
"The course examines various means by which control can be exercised and the types of accounting information that allow for different means of control. Topics to be covered include the nature of control, responsibility centers, economic value added, transfer pricing, strategic planning, budgeting, performance evaluation systems, executive compensation, control for differentiated strategies, control for multinational organisations. Students learn how control is exercised through case analyses, case presentations and in-class discussions. The case approach makes control ""come alive"" for the students with descriptions of control at various real organisations. The case presentations make the students think critically and strategically. The in-class discussions allow the students to evaluate the pros and cons of different approaches and solutions to control problems.",Executive Remuneration Management; Tags: Others | Strategy Planning; Tags: Others | Audit and Compliance; Tags: Others | Assessment Design and Implementation; Tags: Others | Security Strategy; Tags: Others | Learning Experience Evaluation and Enhancement; Tags: Others | Transfer Pricing; Tags: Others,success
Advanced Assurance and Attestation,Auditing and Assurance Standards; Tags: CASL,success
Accounting Theory,Accounting Standards; Tags: Others,success
"This course aims to equip students with the essential knowledge and skills to navigate the unique accounting challenges that startups and small enterprises encounter throughout their life cycles. The curriculum covers key topics, such as setting up an initial accounting structure, establishing robust internal control systems, financial planning, and performance tracking, identifying and securing funding opportunities, selling securities to the public, and understanding the legal obligations of startup firms. The course delves into accounting information systems, cash flow management, and securities regulation. By the end of this course, students will have gained an in-depth understanding of the accounting aspects crucial to startups and small enterprises.",Business Opportunities Development; Tags: Emerging | Cash Flow Management; Tags: Others | Accounting Standards; Tags: Others | Financial Planning; Tags: Others | Financial Transactions; Tags: Others | Finance Business Partnering; Tags: Emerging | Enterprise Architecture; Tags: Others | Portfolio Management; Tags: CASL | Performance Management; Tags: Others,success
"This course focuses on descriptive analytics and visualization techniques in accounting. It explores the analysis of financial and managerial accounting data while addressing crucial aspects of data visualization and analysis. Its key components involve building a solid foundation in Python for accounting applications, implementing data visualization tools, and grasping essential features of advanced data analytics. The material includes analysing accounting data, network analysis, natural language processing, machine learning, and artificial intelligence. The final third of the course focuses on blockchain and artificial intelligence in accounting.",Financial Statements Analysis; Tags: Others | Business Data Analysis; Tags: Emerging | Data Visualisation; Tags: Emerging | Analytics and Computational Modelling; Tags: Emerging | Accounting Standards; Tags: Others | Big Data Analytics; Tags: Emerging | Text Analytics and Processing; Tags: Emerging | Data Storytelling and Visualisation; Tags: Emerging | Artificial Intelligence Application; Tags: Emerging,success
"This course provides a comprehensive understanding of carbon accounting as a critical tool for achieving decarbonization goals. Students will delve into the Greenhouse Gas (GHG) Protocol, exploring corporate, value chain, production, and project standards, as well as carbon markets and offsets. The course will cover setting targets and tracking progress, developing decarbonization strategies, and conducting scenario analysis. Additionally, students will learn about ESG ratings and data and the practical aspects of sustainability reporting and analysis. Through interactive case discussions and presentations, students will gain the knowledge and skills necessary to excel in the growing field of carbon accounting.",Carbon Reporting; Tags: Others | Carbon Credit Project Development; Tags: Others | Decarbonisation Project Development; Tags: CASL | Sustainability Reporting; Tags: Others | Decarbonisation Consulting; Tags: CASL | Scenario Planning and Analysis; Tags: Others | Production Operations; Tags: CASL | Technical Presentation; Tags: Others | Project Plan; Tags: Others,success
"This is an advanced-level course that builds on foundational knowledge of ACC2727 (Business Processes, Systems, and Assurance – Foundation) to prepare students for complex audit and assurance challenges in a dynamic business environment. This course explores the processes and internal controls applied in systems development and electronic commerce, and as well, examines cybersecurity concerns related to systems and electronic commerce. Students will develop an understanding of assurance practices related to the application of systems and network in transactional cycles. The other key topics include completing the audit, effective communication with stakeholders charged with governance, reporting audit opinions, and considerations for audit engagements. Students will also examine code of ethics and professional conduct at assurance levels, develop a brief understanding of the following areas – implementing a system of quality control, sustainability assurance, group audits, specialized engagements, and the emerging trends/ contemporary developments impacting the assurance practice (e.g. artificial intelligence, changes in audit standards). By the end of the course, students will be prepared to navigate the complexities of assurance at advanced levels and contribute meaningfully to the evolving landscape of business processes, systems and assurance. Successful completion of this course opens the pathway for pursing further professional qualification in accountancy, such as Singapore Chartered Accountant Qualification (SCAQ), Certified Public Accountant (Australia) [CPA(Australia)], and the Institute of Chartered Accountants in England and Wales (ICAEW).",Auditing and Assurance Standards; Tags: CASL | Audit and Compliance; Tags: Others | Quality Control and Assurance; Tags: CASL | Audit Management; Tags: Others | Transactional Accounting; Tags: Others | Sustainability Assurance; Tags: CASL | Systems Design; Tags: Others | Information Technology and Network Security; Tags: Others | Ethical Conduct and Professional Integrity; Tags: Others | Business Process Management; Tags: Others | IT Standards; Tags: CASL | Practitioner Inquiry; Tags: Others | Technical Inspection; Tags: Others | Effective Client Communication; Tags: Others | Networking; Tags: Others | Applications Development; Tags: Emerging | Financial Acumen; Tags: Others | Control System Programming; Tags: Others,success
"This course extends the basic concepts of enterprise risk management by focusing on the use of technology to facilitate the identification of key risk indicators and near misses. Through the use of hands-on laboratory sessions and case studies, the course will have a special emphasis on identifying key risk indicators and near misses on social media platforms such as Facebook, Twitter and blogs. The analysis of sentiments on these platforms will be used to illustrate the link of these sentiments to the identification and prediction of key risk indicators and near misses.",Enterprise Risk Management; Tags: Others | Business Risk Management; Tags: Others | Risk Management; Tags: Others | Risk Assessment; Tags: Others | Social Media Management; Tags: Emerging,success
"This course provides students with a foundation in tax planning. Part 1 discusses tax planning opportunities for the business entity in a local (Singapore) context, by making use of available tax incentives, different business structures, etc. Part 2 covers tax planning in an international business context, and will deal with double tax agreements, choice of foreign investment vehicles, repatriation of income and capital, tax havens, tax arbitrage, etc. Part 3 deals with tax planning for the individual operating across international boundaries.",Tax Computation; Tags: Others | Project Plan; Tags: Others,success
"Depending on the expertise available in particular semesters, this course can take on different areas. For example, one stream may be ACC4612(A) Seminars in Accounting: Advanced Issues in Financial Accounting, which will cover topics such as advanced consolidation, pension accounting, extractive industries, agriculture and emerging issues. Another stream may be ACC4612(B) and deal with insolvency and liquidation accounting, plus forensic accounting. Yet a third stream may focus on accounting for non-corporate entities such as partnerships, trusts, estates and charities. A fourth possible stream is methodology and research in accounting. The particular stream offered in a specific semester will be advertised in advance.",Accounting Standards; Tags: Others | Financial Reporting; Tags: Others | Fund Accounting; Tags: Others | Business Needs Analysis; Tags: Emerging | Technical Presentation; Tags: Others,success
"Internal auditing helps the Board of Directors, Audit Committee and Management of an organisation to add value and improve on the organisation’s results and operations. It does this by reviewing and recommending processes for better governance and accountability. This includes giving assurance that polices and procedures are in place to ensure the organisation’s objectives are achieved, risks are managed, controls are complied with, and resources are used efficiently and economically. This course provides students with the knowledge, both theory and practice, of how internal audits are done to achieve these objectives.",Audit Management; Tags: Others | Audit and Compliance; Tags: Others | Governance; Tags: Others,success
"This course is designed to prepare accounting honours students with the necessary knowledge and skills to complete their honour theses. It is also suitable for students with an interest in gaining an understanding of important accounting issues such as earnings management, analyst and management earnings forecasts, voluntary disclosure, and accounting-based valuation.",Valuation; Tags: Others | Valuation Research and Analysis; Tags: Others | Financial Statements Review; Tags: Others | Financial Planning and Analysis; Tags: Others,success
The course discusses the regulations and practices in external and internal audits for public sector entities in Singapore. The emphasis may vary at the instructor’s discretion.,Audit and Compliance; Tags: Others,success
The module seeks to extend students’ understanding of corporate governance derived from ACC3611 or ACC3616 by in-depth discussion of selected topics that reflect the instructors’ interests and expertise.,Corporate Governance; Tags: Others | Audit and Compliance; Tags: Others,success
The module seeks to extend students’ understanding of risk management derived from ACC3612 or ACC3616 by in-depth discussion of selected topics that reflect the instructors’ interests and expertise.,Risk Management; Tags: Others | Risk Analytics; Tags: Emerging,success
"This module seeks to strengthen students’ accounting knowledge and skills necessary to read and analyse the financial information of banks. The banking industry is one of the key pillars of modern economy and plays the unique role as an intermediary providing liquidity for the economy, facilitating commerce and providing credit to business enterprises and individuals.",Capital Management; Tags: Others | Business Negotiation; Tags: Others,success
"It is designed to broaden the career prospects of the accounting graduates in the realm of forensic accounting. This case-based syllabus includes the investigation and detection of financial crime, fraud, insurance claim, legal dispute, Insolvency, money laundering, serious tax crime, terror financing, corruption, identity theft, market manipulation, hidden assets, etc. Knowledge and skills to be taught in the module include data analytics, common modus operandi of financial crime, loss recovery, admissibility of evidence, interviewing suspects and witnesses, presentation in the court of law, and career opportunities as a forensic accountant.",Digital Forensics; Tags: Emerging | Cyber Forensics; Tags: Emerging,success
"This module equips students with internal audit, risk and compliance knowledge and skills. With a slant towards internal auditing, students will learn the key risks and controls in the major banking products such as global markets, credit and lending, wealth management, as well as the major banking regulations such as anti-money laundering/countering of terrorist financing rules. Students will learn how to design internal audit programmes to assess the adequacy and effectiveness of internal controls in these areas. Topics covered include data analytics, common modus operandi of banking frauds and control lapses, internal auditing standards, and internal audit report writing.",Audit and Compliance; Tags: Others | Internal Audit Function Management; Tags: Others | Financial Transactions; Tags: Others | Internal Controls; Tags: CASL | Market Intelligence; Tags: Others,success
To equip students with a good understanding of the theoretical and practical knowledge/techniques for a variety of assurance and attestation work other than the statutory audit. Such work is often more complex and requires advanced methodologies.,Knowledge Management; Tags: CASL | Learning Experience Evaluation and Enhancement; Tags: Others | Conceptual Thinking; Tags: Others,success
"Accounting theory is a body of rules and theories which governs the practice of financial accounting. Many of the rules and theories are well reasoned economic rationales and tested over time. On the other hand, the state of accounting theory also changes as new accounting and financial transactions are created in the new economy. This course seeks to examine some of the core theories that underpin financial accounting. This is essential to a proper theoretical understanding of the discipline of financial accounting.",Financial Reporting; Tags: Others | Financial Planning and Analysis; Tags: Others,success
Advanced Independent Study Courses (ISCs) are for senior students who are in the BBA(Acc) honors programs with the requisite background to work closely with an instructor on a well-defined project in the accounting area. (The courses may also be made available to students who are eligible for admission into the honors programs but choose to pursue the non-honors course of study.) Students will hone their research and report-writing skills while tackling an accounting related issue under the guidance of the instructor.,Accounting Standards; Tags: Others | Report Writing; Tags: Others,success
"It is designed to broaden the career prospects of the accounting graduates in the realm of forensic accounting. This case-based syllabus includes the investigation and detection of financial crime, fraud, insurance claim, legal dispute, Insolvency, money laundering, serious tax crime, terror financing, corruption, identity theft, market manipulation, hidden assets, etc. Knowledge and skills to be taught in the course include data analytics, common modus operandi of financial crime, loss recovery, admissibility of evidence, interviewing suspects and witnesses, presentation in the court of law, and career opportunities as a forensic accountant.",Cyber Forensics; Tags: Emerging | Digital Forensics; Tags: Emerging | Big Data Analytics; Tags: Emerging,success
"This course equips students with internal audit, risk and compliance knowledge and skills. With a slant towards internal auditing, students will learn the key risks and controls in the major banking products such as global markets, credit and lending, wealth management, as well as the major banking regulations such as anti-money laundering/countering of terrorist financing rules. Students will learn how to design internal audit programmes to assess the adequacy and effectiveness of internal controls in these areas. Topics covered include data analytics, common modus operandi of banking frauds and control lapses, internal auditing standards, and internal audit report writing.",Audit and Compliance; Tags: Others | Internal Audit Function Management; Tags: Others | Financial Transactions; Tags: Others | Internal Controls; Tags: CASL | Market Intelligence; Tags: Others,success
"Depending on the expertise available in particular semesters, this course can take on different areas. For example, one stream may be Seminars in Accounting: Advanced Issues in Financial Accounting, which will cover topics such as advanced consolidation, pension accounting, extractive industries, agriculture and emerging issues. Another stream may deal with insolvency and liquidation accounting, plus forensic accounting. Yet a third stream may focus on accounting for non-corporate entities such as partnerships, trusts, estates and charities. A fourth possible stream is methodology and research in accounting. The particular stream offered in a specific semester will be advertised in advance.",Accounting Standards; Tags: Others | Financial Reporting; Tags: Others | Fund Accounting; Tags: Others | Transactional Accounting; Tags: Others | Business Needs Analysis; Tags: Emerging | Restructuring Insolvency Advisory; Tags: Others | Technical Presentation; Tags: Others,success
"Internal auditing helps the Board of Directors, Audit Committee and Management of an organisation to add value and improve on the organisation's results and operations. It does this by reviewing and recommending processes for better governance and accountability. This includes giving assurance that polices and procedures are in place to ensure the organisation's objectives are achieved, risks are managed, controls are complied with, and resources are used efficiently and economically. This course provides students with the knowledge, both theory and practice, of how internal audits are done to achieve these objectives.",Audit Management; Tags: Others | Audit and Compliance; Tags: Others | Governance; Tags: Others,success
The course discusses the regulations and practices in external and internal audits for public sector entities in Singapore. The emphasis may vary at the instructor's discretion.,Audit and Compliance; Tags: Others,success
The course seeks to extend students' understanding of corporate governance derived from ACC3706 by in-depth discussion of selected topics that reflect the instructors' interests and expertise.,Corporate Governance; Tags: Others | Audit and Compliance; Tags: Others,success
The course seeks to extend students' understanding of risk management derived from ACC3706 by in-depth discussion of selected topics that reflect the instructors' interests and expertise.,Risk Management; Tags: Others | Risk Analytics; Tags: Emerging,success
"This course seeks to strengthen students’ accounting knowledge and skills necessary to read and analyse the financial information of banks. The banking industry is one of the key pillars of modern economy and plays the unique role as an intermediary providing liquidity for the economy, facilitating commerce and providing credit to business enterprises and individuals.",Financial Planning and Analysis; Tags: Others | Business Negotiation; Tags: Others,success
"This course introduces students to art history both as a field of academic knowledge concerned with works of art (including painting, sculpture and architecture) and as a discipline with a distinctive methodology, vocabulary and theoretical foundations. The course surveys the main trends in the artistic traditions of Europe and Asia paying special attention to cross-cultural comparative analysis (i.e. how the human body and landscape are represented in different artistic traditions).",Art Form History and Culture; Tags: Others | Art Form Showcase; Tags: Others | Cultural | Heritage and Socio-economic Sensitivity for Design; Tags: Others | Photography; Tags: Others | Architecture Design; Tags: Others,success
"This is an introductory-level course, providing students a historical survey of three thousand years of Chinese visual arts with emphasis on painting. Through the course, students will gain a basic understanding of the historical transformation of Chinese art from the classical towards the modern and contemporary, as well as key aesthetic and philosophical conceptions underpinning the production of visual arts in the Chinese culture. In addition, the course provides some comparative studies of Chinese and Western visual arts. There will also be a component introducing the special linkages between the history of Singapore art and the Chinese context.",Art Form History and Culture; Tags: Others | Art Form Showcase; Tags: Others | Photography; Tags: Others,success
"What is modern art? How has it been understood and interpreted by artists, critics and art historians? What is the relationship between modern art, modernism and modernity? Is the history of modern art “multiple”? The course will explore these questions through a chronological introduction to modern art, from the 19th century to the 1950s. Students will be encouraged to critically-analyse visual and textual primary-source material to develop a nuanced understanding of different developments in modern art. Case studies on modern art in Asia will also be included to encourage students to appreciate the multiplicity and global diffusion of modern art.",Art Form History and Culture; Tags: Others,success
"This course surveys art and architectural genres produced in British colonies, chiefly India, Singapore and Malaya through diverse visual forms such as painting, calendar art, photography, craft objects and buildings. Visual analysis is accompanied by an investigation into the shifts in materials, technologies and contexts of display and consumption, which often expressed British control, native resistance and a desire for self-rule. The course also considers the role of British institutions, namely, art schools, archaeological surveys, museums and exhibitions in grooming art production and tastes; native projects and responses are unravelled simultaneously to understand East-West interactions.",Art Form History and Culture; Tags: Others,success
"This course examines historically significant sculptures, architecture and paintings that are produced in Southeast Asia and span the timeframe of about one thousand years. It surveys artistic fields shaped by Hindu-Buddhist ideals. These testify to the creative, technological capacities of designers and communities of artists, as well as the ambitions and resources of patrons. They also reveal links within the region, and connections with India. The course cultivates methods for analysing the composition and formation of images, designs and built forms, gaining understanding of their symbolic import, and fostering insights into complex relationships between religious ideals and their artistic representations.",Art Form History and Culture; Tags: Others | Art Form Showcase; Tags: Others,success
"This course provides an introduction to key movements and tendencies in late modern and contemporary art, primarily in Europe and North America, but also extending to related developments around the world. Through a close analysis of significant artists, exhibitions and texts, the course will encourage a historical understanding of the emergence of Western contemporary art and its role within the globalised art world of today. The influences of social, political and cultural forces will also be discussed, providing a wider framework for students to interpret artworks and to examine their context and reception.",Art Form History and Culture; Tags: Others | Art Form Showcase; Tags: Others,success
"The course aims to equip students with curatorial methodologies and theories drawn from the history of exhibitions in Southeast Asia. Students will be introduced to postcolonial theories, approaches and methodologies with an inter-disciplinary focus that can be used to frame the art histories of the region. This course will provide opportunities for students to gain hands-on experience of curatorial practices through workshops with curators, conservators, educators and public programmers by drawing resources from the NUS Museum and the National Gallery Singapore.",Art Form History and Culture; Tags: Others,success
"This course examines the development of a wide range of private and institutional collecting practices in Europe and Asia, from the late medieval period to the present day. It draws on diverse theoretical approaches to collection studies. The course seeks to understand the contributions of collectors to art-production, display and taste-making and value-arbitration, and, consequently to the overall contours of art history and its canons. It adopts an inter-disciplinary approach to demonstrate how collectors have actively shaped other histories of modernities, nationalisms and cosmopolitanisms.",Art Form History and Culture; Tags: Others | Art Form Showcase; Tags: Others | Information Collection; Tags: CASL,success
"This coursee examines the history of art history as a discipline looking at its origins, evolution and shifts across time. It seeks to understand how genres in art history are sequenced, compared and analysed in the European tradition. The course also examines how art history evolves differently in Asian texts and Asian contemporary writing. These differences in the methods and approaches to art history provide diverse frameworks to appreciate art-production and consumption globally.",Art Form History and Culture; Tags: Others,success
"What is “modern art” in “Southeast Asia”? When and how did it emerge? In what ways have modern art and its histories been discussed, as distinct yet also connected to the modern art of other regions? This course explores these questions by guiding students through key historical approaches to the relationship between art and modernity in Southeast Asia, since the 19th century. The course’s thematic structure pairs historical and methodological concepts with diverse case studies from visual art and other cultural forms. This equips students with the skills for critically reflexive considerations of relationships between art, modernity, and Southeast Asia.",Art Form History and Culture; Tags: Others,success
"How do we discuss “Islamic art” history within the context of modern and contemporary Southeast Asia? How do we recontextualize the category of “Islamic art” through looking closely at objects and exhibitions from Southeast Asia? Through art historical methods of writing about objects and images, this course discusses how modern and contemporary artworks reveal the complex negotiations between Islam and modernity and the subtle conversations that traverse cultural practices and ethnic identifications. The course will be structured through artworks that also bear traces of Islamic trade and ritual objects as well as artists’ engagement with contemporary issues.",Art Form History and Culture; Tags: Others | Art Form Showcase; Tags: Others,success
"This module considers evidence-based techniques for learning derived from the fundamental science and understanding of how we learn. It reveals steps on the path to more effective learning by using a set of simple, pragmatic rules: rules to build motivation and to speed up the learning process over both the short and long term. Learners will appreciate learning rules and the scientific evidence behind them. They will also understand why, despite sometimes being counterintuitive, they work so well. This understanding will lead to individualised application of techniques to improve learning.",Learning Programme Delivery; Tags: Others | Arts Education Research; Tags: Others | Personal Effectiveness; Tags: Others,success
"Have you ever regretted a choice you made? Every day, we make many decisions. However, are you aware that we all possess cognitive biases that influence our choices without us knowing? These natural biases can lead us into making seemingly prudent decisions that are illogical. In this module, we will explore some of the biases that we are naturally programmed. You will understand why we don’t even realize that we behave irrationally and make choices that are unintended. With a better knowledge of these inherent natural biases, we can think more clearly and make better decisions in our lives.",,error: No skills extracted or download failed.
"See the world afresh through the lens of anthropology and its distinctive ways of studying, thinking and understanding the social and cultural underpinnings of human behaviour, institutions, and practices. Once described as a science of man, anthropology confronts the facts of human diversity, inviting you to delve deep into questions of what it means to be human. How do language, culture and the environment shape us? How do we understand people and societies vastly different from our own? Anthropological thinking offers a grounded, human-centred approach to contemporary problems in fields like education, health, media, urban planning, organizations, policy, and businesses.",Diversity Appreciation and Sensitivity; Tags: Others,success
"This course is designed to cover foundational anthropological and ethnographic methods. These processes include fieldwork, documentation, and the presentation and production of the eventual text that typically carry description, representation and interpretive analysis. How is anthropological fieldwork conducted in the study of different cultures? How do anthropologists detail social relations and human behaviour in the field? What are the methods and modes of evidence which anthropologists deploy in the presentation of their arguments and data? Students will therefore be imparted with key methodological skills and techniques of how anthropologists practice their craft when carrying out research.",Arts Education Research; Tags: Others,success
"We are living in a world marked by cultural diversity. We encounter different cultural norms and practices every day, which may enable us to become more reflexive, curious, and open‐minded or, in some cases, lead us to become defensive. This course provides an analytical lens to learn how cultures affect social behaviour and how different cultures interact with each other in the contemporary world. We shall discuss issues related to ""ethnocentrism"", ""cultural relativism"", “hybrid cultures”, “sub cultures” and ""multiculturalism"". This course will furthermore discuss how cultures are socially constructed. In this sphere, the course will explore such topics as travel and encounters, the construction of personal and collective identities, ethnic minorities and the state, gender relations and family systems, workspaces and hierarchy, and globalization.",Diversity Appreciation and Sensitivity; Tags: Others | Qualitative Analysis; Tags: Others,success
"This course draws on an anthropological perspective to examine social, cultural and historical processes that have shaped the peoples and cultures of Southeast Asia. The course focuses on issues of migration and population; trade and economic networks; the influences of Indian, Chinese, Arab and European cultures and their interaction with indigenous cultures; the organization of states; and the interrelationship between religious and political systems; all of which have produced complex diversity as well as a shared heritage for Southeast Asian across the region.",,error: No skills extracted or download failed.
"Media anthropology offers an ethnographically rich account of a range of media technologies that have come to shape the experience of our world and that of others - including the nonhuman. It reveals how our responses to and the uses to which we put media are themselves mediated through our cultural lenses. Questions like what media mean, how they work, what drives their forms and content, and the role they play in sustaining or transforming societies will be explored through anthropological approaches, concepts and concerns (e.g., culture, ethnography, ritual, storytelling, religion, kinship, embodiment, urbanism, migration, violence, otherness, power, globalization).",,error: No skills extracted or download failed.
"Food is a social phenomenon: what constitutes food and, therefore, what can be eaten; how it is to be prepared, presented, and consumed; with whom you eat and so forth express complex relationships to class, ethnicity and gender. This course will uncover the complexity behind an everyday life material that affects and effects multiple social networks, wherein food is both the material and symbol by which class, race/ethnicity, sex/gender are socially constructed. This course is mounted for all students throughout NUS with interest in food and society.",Qualitative Research; Tags: CASL | Novel Food Application; Tags: CASL,success
"Did nature make humans, or have humans made nature? Or, are both continuously co-evolving, each changing in relation to the other? This course explores the socio-political dynamics, practices and institutions through which societies endeavour to understand and appropriate the natural world. We examine how different societies engage with nature, and how these engagements have in turn shaped social thought. In addition to exploring the way humans across time and space have constructed their understandings and relationships with nature, topics also include urban ecology and infrastructure, biotechnology, bio-capitalism, international energy politics, climate change, ‘natural’ disasters, global environmental inequality, conservation and environmentalism.",Decarbonisation Consulting; Tags: CASL,success
"Art and anthropology have had a long, if at times, contentious history of exchanges, from selective appropriations to inventive collaborations. This course explores the vibrant relationship between art and anthropology to think about what each still can learn from the other. We start with a historical examination of the exchanges between two disciplines over the 20th century, from the use of ethnographic tropes by artists to avant-garde influences on anthropological practices of representation. We then turn to the deeper affinities with between the two as found in the ethnographic turn in art, art/anthropology collaborations, and, more recently, the social/participatory/relational turn.",Art Form History and Culture; Tags: Others,success
